%time,field.bms_alarm_status,field.SOC_Value,field.SOH_Value,field.totalVoltage,field.totalCurrent,field.voltageDiff,field.tempDiff,field.BCU_Mode,field.Charging
1769692789539564609,0,72,0,52,-62,0,50,0,0
1769692790538301467,0,72,0,52,-62,0,50,0,0
1769692790538831472,0,72,0,52,-62,0,50,0,0
1769692790539290904,0,72,0,52,-62,0,50,0,0
1769692791538870096,0,72,0,52,-62,0,50,0,0
1769692791539361000,0,72,0,52,-62,0,50,0,0
1769692791539821147,0,72,0,52,-62,0,50,0,0
1769692792538852214,0,72,0,52,-62,0,50,0,0
1769692792539104700,0,72,0,52,-62,0,50,0,0
1769692792539336681,0,72,0,52,-62,0,50,0,0
1769692793538161754,0,72,0,52,-62,0,50,0,0
1769692793556476354,0,72,0,52,-62,0,50,0,0
1769692793556638956,0,72,0,52,-62,0,50,0,0
1769692794539248228,0,72,0,52,-62,0,50,0,0
1769692794539704561,0,72,0,52,-62,0,50,0,0
1769692794539895534,0,72,0,52,-62,0,50,0,0
1769692795538692951,0,72,0,52,-62,0,50,0,0
1769692795538946151,0,72,0,52,-62,0,50,0,0
1769692795539317131,0,72,0,52,-62,0,50,0,0
1769692796538861274,0,72,0,52,-62,0,50,0,0
1769692796539587497,0,72,0,52,-62,0,50,0,0
1769692796539806604,0,72,0,52,-62,0,50,0,0
1769692797538816928,0,72,0,52,-62,0,50,0,0
1769692797539095401,0,72,0,52,-62,0,50,0,0
1769692797539284706,0,72,0,52,-62,0,50,0,0
1769692798538466453,0,72,0,52,-62,0,50,0,0
1769692798610561370,0,72,0,52,-62,0,50,0,0
1769692798610729217,0,72,0,52,-62,0,50,0,0
1769692799538173913,0,72,0,52,-62,0,50,0,0
1769692799538610696,0,72,0,52,-62,0,50,0,0
1769692799539028406,0,72,0,52,-62,0,50,0,0
1769692800538296222,0,72,0,52,-62,0,50,0,0
1769692800538740396,0,72,0,52,-62,0,50,0,0
1769692800540042400,0,72,0,52,-62,0,50,0,0
